source_id,file_name,sheet,column_index,field_name,inferred_data_type,example_value,fill_notes,confidence,notes
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,Dept,text,502,,OBSERVED,buyer department code
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,箱号,text,1-13,,OBSERVED,carton number or range
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,箱数,integer,3,,OBSERVED,carton count in row
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,包装,text,601567949,,INFERRED_LOW,likely UPC/GTIN
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,10/12,integer,95,pieces at size 10/12,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,14/16,integer,28,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,18/20,integer,90,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,22/24,integer,68,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,26/28,integer,85,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,30/32,integer,33,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,34/36,integer,84,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,38/40,integer,82,,OBSERVED,plus-size bucket
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,每箱配比,text,95,pattern per carton,OBSERVED,ratio per carton
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,每箱件数,integer,95,,OBSERVED,pieces per carton
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,共计数量,integer,285,,OBSERVED,line total pieces
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,每箱毛重(公斤),decimal,17,,OBSERVED,gross wt per carton (kg)
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,每箱净重(公斤),decimal,16,,OBSERVED,net wt per carton (kg)
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,合计毛重(公斤),decimal,51,,OBSERVED,total gross wt
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,合计净重(公斤),decimal,48,,OBSERVED,total net wt
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,长*宽*高(公分),text,58*40*38,,OBSERVED,carton dimensions cm
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,每箱体积(立方米),decimal,0.08816,,OBSERVED,carton volume m3
F3,FBB54S2-997XLB款装箱单.xlsx,Sheet1,,(all fields same as above but for other style DNL14R6-410SM PROGRAM M5747 with XS-XXL sizes),,,OBSERVED,leftover template — different style
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,客户,text,锦秀公司/胡颖洁,,OBSERVED,agent+merchandiser
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,款号,text,FBB54S2-997XLB,,OBSERVED,factory style
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,品名,text,女式T恤,,OBSERVED,product type
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,交货期,text_date,2026.5.7,,OBSERVED,delivery date (text)
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,大货数量,integer,2839,,OBSERVED,bulk order qty
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,印绣花_部位,text,前片绣花,,OBSERVED,print/embroidery position
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,协作单位,text,家顺,,OBSERVED,subcontractor
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,联系方式,phone,13806640517,,OBSERVED,phone number
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,部位,text,大身/袖子,,OBSERVED,garment part
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,面料质地,text,32S CVC60/40竹节汗布170G(成衣）,,OBSERVED,fabric spec
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,颜色,text,单染棉 26C12344-D色丈青,,OBSERVED,color+swatch
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,批号/色样,text,524,,OBSERVED,dye lot number
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,计划发货数(10/12..38/40),integer,85,,OBSERVED,planned ship qty per size
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,计划裁剪数(10/12..38/40),decimal,88.4,,OBSERVED,planned cut qty per size (with surplus)
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,合计,integer/decimal,2839 / 2957.84,,OBSERVED,line totals
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,生产工厂,text,名苑,,OBSERVED,CMT factory (variant spelling of 茗苑)
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,绣花小版(100%),marker,,,INFERRED_HIGH,embroidery small size marker
F4,FBB54S2-997XLB裁剪计划单.xls,FBB54S2-997XLB,,绣花大版(110%),marker,,,INFERRED_HIGH,embroidery large size marker
F5a,FBB54S2-997XLB计划单.xls,投料计划,,客户,text,锦秀公司/胡颖洁,,OBSERVED,customer
F5a,FBB54S2-997XLB计划单.xls,投料计划,,交期,text_date,2026.4.20,,OBSERVED,delivery
F5a,FBB54S2-997XLB计划单.xls,投料计划,,款号,text,FBB54S2-997XLB,,OBSERVED,factory style
F5a,FBB54S2-997XLB计划单.xls,投料计划,,款式简况,text,女式T恤,,OBSERVED,brief style desc
F5a,FBB54S2-997XLB计划单.xls,投料计划,,颜色,text,藏青,,OBSERVED,color
F5a,FBB54S2-997XLB计划单.xls,投料计划,,面料质地/不含新疆棉,text,32S CVC60/40竹节汗布170G(成衣）,,OBSERVED,fabric (no XJ-cotton clause)
F5a,FBB54S2-997XLB计划单.xls,投料计划,,毛门幅,text,185CM,,OBSERVED,greige width
F5a,FBB54S2-997XLB计划单.xls,投料计划,,部位,text,大身/袖子/领子,,OBSERVED,garment part
F5a,FBB54S2-997XLB计划单.xls,投料计划,,单件用料/KG,decimal,0.324,,OBSERVED,per-garment kg
F5a,FBB54S2-997XLB计划单.xls,投料计划,,成衣数量,integer,2839,,OBSERVED,garment qty
F5a,FBB54S2-997XLB计划单.xls,投料计划,,毛坯用料合计,decimal,919.836,,OBSERVED,total greige kg
F5a,FBB54S2-997XLB计划单.xls,投料计划,,备注,text,不含新疆棉，面料按确认品质...,,OBSERVED,notes
F5a,FBB54S2-997XLB计划单.xls,投料计划,,购纱要求,text,32S CVC竹节:950 KG,,INFERRED_HIGH,yarn purchase kg
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,客户,text,锦秀公司/胡颖洁,,OBSERVED,customer
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,款号,text,FBB54S2-997XLB,,OBSERVED,factory style
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,织造加工,text,林海织造,,OBSERVED,knitter vendor
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,面料质地,text,32S CVC60/40竹节汗布170G(成衣）,,OBSERVED,fabric spec
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,颜色,text,藏青,,OBSERVED,color
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,毛门幅,text,185CM,,OBSERVED,greige width
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,32S纱数量,integer,950,,OBSERVED,yarn kg
F5b,FBB54S2-997XLB计划单.xls,织造计划单,,毛坯布数量(KG),integer,920,,OBSERVED,greige fabric kg
F5c,FBB54S2-997XLB计划单.xls,拷布单,,客户,text,锦秀公司/胡颖洁,,OBSERVED,customer
F5c,FBB54S2-997XLB计划单.xls,拷布单,,款号,text,FBB54S2-997XLB,,OBSERVED,factory style
F5c,FBB54S2-997XLB计划单.xls,拷布单,,成衣交期,text_date,2026.4.25,,OBSERVED,garment delivery
F5c,FBB54S2-997XLB计划单.xls,拷布单,,日期,text_date,2026.3.10,,OBSERVED,plan date
F5c,FBB54S2-997XLB计划单.xls,拷布单,,织造加工,text,林海织造,,OBSERVED,knitter
F5c,FBB54S2-997XLB计划单.xls,拷布单,,批号,text,524,,OBSERVED,dye lot
F5c,FBB54S2-997XLB计划单.xls,拷布单,,颜色,text,单染棉 26C12344-D色丈青,,OBSERVED,color+swatch
F5c,FBB54S2-997XLB计划单.xls,拷布单,,面料质地,text,32S CVC60/40竹节汗布170G(成衣）,,OBSERVED,fabric
F5c,FBB54S2-997XLB计划单.xls,拷布单,,毛门幅,text,185CM,,OBSERVED,greige width
F5c,FBB54S2-997XLB计划单.xls,拷布单,,重量KG,integer,920,,OBSERVED,weight kg
F5c,FBB54S2-997XLB计划单.xls,拷布单,,只数,integer,,,OBSERVED,# rolls (empty)
F5c,FBB54S2-997XLB计划单.xls,拷布单,,实拷KG,decimal,,,OBSERVED,actual scoured kg (empty)
F5c,FBB54S2-997XLB计划单.xls,拷布单,,备注,text,按确认面料品质...,,OBSERVED,notes
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,0,PHOTO,image,,,OBSERVED,image slot
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,1,PROGRAM#,text,M7797,,OBSERVED,buyer program
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,2,款号,text,FBB54S2-997XLB（商店款号1152246）,dual code in cell,OBSERVED,factory+store style
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,3,颜色,text,BLUE INDIGO,,OBSERVED,color (English)
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,4,PO#,text,728274,,OBSERVED,buyer PO
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,5,包装,text,BULK独码 绝对不能短装,,OBSERVED,packing mode
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,6-13,10/12..38/40,integer,313,,OBSERVED,pieces per size
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,14,数量,integer,1189,,OBSERVED,PO subtotal
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,15,总件数,integer,2839,,OBSERVED,style total
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,16,主标,text,内容见附页...,,OBSERVED,main label spec
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,17,洗标和追踪标,text,内容见附页...,,OBSERVED,care/tracker label spec
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,18,价格牌,text,用3""透明枪针打在...,,OBSERVED,hangtag spec
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,19,胶袋贴纸,text,衣服装入胶袋后...,,OBSERVED,polybag sticker spec
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,20,油光纸,text,,,OBSERVED,glassine paper spec
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,21,包装方法,text,,,OBSERVED,packing method
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,22,胶袋,text,,,OBSERVED,polybag spec
F6,LANE BRYANT_M7797_1152246辅料清单 更新4.3.xlsx,主表,23,STORE,text,,empty in sample,OBSERVED,store name (empty)
F7,M7797 茗苑合同 1.30.xls,1152246/1152530/1152527/1152492,,PROGRAM#,text,M7797,,OBSERVED,buyer program
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,款号,text,1152246\n（FBB54S2-997XLB）,dual code in cell,OBSERVED,store+factory style
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,客户,text,BCI,ambiguous — see ambiguities,INFERRED_LOW,here appears to hold cotton certification not customer
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,商店,text,Lane Bryant,,OBSERVED,end brand
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,品名,text,T恤 / 绒衫,,OBSERVED,product type
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,数量,integer,2839,,OBSERVED,total pieces
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,交期,date,2026-04-20,,OBSERVED,delivery date (real datetime)
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,测试要求,text,大货测试要求：（BV测试公司）...,,OBSERVED,testing requirements
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,款式图,image,,,OBSERVED,image slot
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,工艺要求,text,1.裁片前片珠片绣,,OBSERVED,process requirements
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,序号,integer,1,,OBSERVED,BOM line number
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,部位,text,本身布 / 袖口，领口，下摆罗纹,,OBSERVED,garment part
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,面辅料,text,蓝色，染棉，CVC 60棉40涤竹节汗布,,OBSERVED,material spec
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,颜色(BOM),text,按客样 / 配大身,,OBSERVED,BOM color instruction
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,颜色(order),text,BLUE INDIGO（蓝色）,,OBSERVED,order color (English + Chinese)
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,CUSTOMER PO#,text,待定,,OBSERVED,buyer PO
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,包装和UPS#,text,待定,,INFERRED_HIGH,packing + UPC (typo of UPC#)
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,10/12..38/40,integer,,,OBSERVED,pieces per size
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,总计,integer,2679,,OBSERVED,color-total pieces
F7,M7797 茗苑合同 1.30.xls,{sheet=store style},,茗苑,marker,茗苑,,OBSERVED,factory name label
F8,M7797 茗苑色卡 1.30.xlsx,色卡安排,,面料信息,text,本身布：蓝色，染棉，CVC 60棉40涤竹节汗布,,OBSERVED,fabric info
F8,M7797 茗苑色卡 1.30.xlsx,色卡安排,,客样,text,有客样 / 有客样烂后色标,,OBSERVED,buyer sample available
F8,M7797 茗苑色卡 1.30.xlsx,色卡安排,,色号,text,按照客样颜色出色卡,,OBSERVED,color instruction
F8,M7797 茗苑色卡 1.30.xlsx,色卡安排,,款号,text,1152246（FBB54S2-997XLB）,,OBSERVED,store+factory style
F8,M7797 茗苑色卡 1.30.xlsx,色卡安排,,merchandiser,text,胡颖洁,footer note,OBSERVED,merchandiser name
F8,M7797 茗苑色卡 1.30.xlsx,色卡安排,,serial_or_date,integer,46052,,INFERRED_LOW,internal serial or Excel date serial (~2026-01-28)
F9,M7797 茗苑花片 1.30.xlsx,色卡安排,,面料信息,text,本身布：蓝色...,,OBSERVED,fabric info
F9,M7797 茗苑花片 1.30.xlsx,色卡安排,,画稿,text,997X / 230E / 185E / 220E,,INFERRED_HIGH,art file reference
F9,M7797 茗苑花片 1.30.xlsx,色卡安排,,要求,text,按照客样绣花位置品质和颜色安排最类似的5个花片,,OBSERVED,requirement
F9,M7797 茗苑花片 1.30.xlsx,色卡安排,,款号,text,1152246（FBB54S2-997XLB）,,OBSERVED,store+factory style
