concept,originating_document,source_of_truth,downstream_copies,conflicting_versions,conflict_type,confidence
yarn_purchase_kg (950),D5 (购纱要求 narrative),D5,D6 32S纱数量 = 950,none,none,OBSERVED
greige_qty_kg (~920 body / +12 trim),D5 毛坯用料合计,D5,D6 (932 total);D7 (920 body),D5 919.836 vs D6 932 (with trim) vs D7 920 (body only),stage-specific value (different denominators — body-only vs body+trim),OBSERVED
dye_lot (批号 524),D7,D7,D8,none,none,OBSERVED
contract_quantity (2839),D2,D2,"D5 (2839);D8 (2839);D9 (2839);D0 (2679+160=2839);D1 (2679+160=2839);D10 (1189+1650=2839)",none,none,OBSERVED (internally consistent)
order_line_quantity (2679 / 160),D1 R171/R172,D1,D0 mirrors the split,none,none,OBSERVED
quotation_quantity (2679/160),D0 数量,D0,D1 mirrors,none,none,OBSERVED
planned_ship_qty_by_size,D8 计划发货数,D8,none,D8 sums to 2839;D9 per-PO×size sums also to 2839,none,none,OBSERVED
planned_cut_qty_by_size,D8 计划裁剪数,D8,none,none,none,OBSERVED (calculated from planned_ship_qty × 1.04 nominal)
po_quantity (728274=1189; 728275=1650),D9,D9,D10,none,none,OBSERVED
po_x_size_quantity,D9,D9,D10 (exploded per carton),none,none,OBSERVED
size_ratio_scheme (10/12..38/40),D2,D2,D8;D9;D10,none (all use same scheme),none,OBSERVED
carton_count,D10,D10,none,none,none,OBSERVED
carton_number,D10,D10,none,none,none,OBSERVED
pieces_per_carton,D10,D10,none,none,none,OBSERVED
carton_gross_wt_kg,D10,D10,none,none,none,OBSERVED
carton_net_wt_kg,D10,D10,none,none,none,OBSERVED
carton_dimensions_cm,D10,D10,none,none,none,OBSERVED
carton_volume_m3,D10,D10,none,none,none,OBSERVED
contract_delivery_date (2026-04-20),D2,D2 (per C4),none,"D7 (2026-04-25);D8 (2026-05-07);D1 (2026-05-22)","stage-specific value (D7/D8 are internal stage deadlines per C4); D1 is a revision (actual slip to 5/22)",OBSERVED
expected_delivery_date (2026-05-22),D1 交货期 (46164),D1,D1 status text (matches),none,none,OBSERVED
stage_deadline_dye (2026-04-25),D7,D7,none,none,none,INFERRED_HIGH per C4
stage_deadline_cut (2026-05-07),D8,D8,none,none,none,INFERRED_HIGH per C4
actual_ship_date (2026-05-22),D1 成衣工厂 text,D1,none,none,none,OBSERVED
plan_issue_date_yarn (2026.3.10),D5 footer,D5,none,none,none,OBSERVED
plan_issue_date_dye (2026.3.10),D7,D7,none,none,none,OBSERVED
plan_issue_date_knit (2026.3.19),D6 footer,D6,none,none,none,OBSERVED
booked_order_date (2026-01-31),D1 下单时间,D1,none,none,none,OBSERVED (year inferred from position in 2026 section)
quoted_unit_price_rmb (28.5/32),D0 价格,D0,none,D0 28.5 vs D1 28.0 (regular);D0 32 vs D1 31.0 (plus),revision (booked price ≠ quote; matches D0 目标价 27/31 more closely for plus and ~ target for regular),OBSERVED
target_unit_price_rmb (27/31),D0 目标价,D0,D1 booked closer to target than to quote,none,none,OBSERVED
booked_unit_price_rmb (28.0/31.0),D1 col 13,D1 (per C6),none,none,none,OBSERVED (per C6)
booked_line_amount_rmb (75012 / 4960),D1 col 14,D1 (per C6),none,none,none,OBSERVED (per C6) — CALCULATE
cost_fabric_per_pc,D0 面料成本,D0,none,none,none,OBSERVED
cost_cmt,D0 做工,D0,none,none,none,OBSERVED
cost_print_emb,D0 印绣花,D0,none,none,none,OBSERVED
cost_trims,D0 辅料,D0,none,none,none,OBSERVED
cost_per_pc_total,D0 每件成本,D0,none,none,none,OBSERVED (CALCULATE)
testing_requirements,D2 测试要求,D2,none,none,none,OBSERVED
packing_mode (BULK独码),D9 包装,D9,D10 header,none,none,OBSERVED
main_label_spec,D9 主标,D9,none,none,none,OBSERVED
care_tracker_label_spec,D9 洗标和追踪标,D9,none,none,none,OBSERVED
hangtag_spec,D9 价格牌,D9,none,none,none,OBSERVED
polybag_sticker_spec,D9 胶袋贴纸,D9,none,none,none,OBSERVED
carton_marking_spec,D9 纸箱-独色独码 BULK sheet,D9,D10,none,none,OBSERVED
sample_progress_status,D1 样衣进度,D1,none,none,none,OBSERVED
fabric_progress_status,D1 面料进度,D1,none,none,none,OBSERVED
invoice_status (2026-06-03),D1 开票情况,D1,none,none,none,OBSERVED
buyer_pp_document,A1,A1,none,none,none,INFERRED_HIGH
buyer_fit_document,A2,A2,none,none,none,OBSERVED
pattern_dxf,A3,A3,none,none,none,OBSERVED
grading_rules,A4,A4,none,none,none,INFERRED_HIGH
art_master_ai,A5,A5,linked via 画稿=997X in D4,none,none,OBSERVED
