entity,definition,grain,primary_identifier,lifecycle_stage,evidence,confidence,status
MaterialComponent,"BOM line: garment part → FabricSpecification with per-piece consumption",1 per (FactoryStyle; garment_part),composite,T5_fabric_plan,D5 (0.324 body/sleeve/collar; 0.004 rib collar tape);D2 序号/部位/面辅料,OBSERVED,PROVISIONAL
Artwork,Embroidery/print art asset (画稿 linking id),1 per art_asset_id,art_asset_id (e.g. 997X),T1_art_brief,D4 画稿=997X → A5 997X Football sequins EMB.ai;A6/A8 confirmation,OBSERVED,CONFIRMED (C5)
EmbroiderySpecification,Per-style rule for embroidery execution including size-scaled versions,1 per FactoryStyle,composite,T6_cut_plan,D8 绣花小版(100%) / 绣花大版(110%),OBSERVED,PROVISIONAL
LabelSpecification,"Specification for one label kind (main/care+tracker/hangtag/side)",1 per (FactoryStyle; label_type),composite,T7_trims,D9 主标/洗标和追踪标/价格牌,OBSERVED,PROVISIONAL
PackagingSpecification,"Per-style packaging spec: polybag; glassine; carton",1 per FactoryStyle,composite,T7_trims,D9 sheets 胶袋警告语/油光纸参考/纸箱-独色独码 BULK,OBSERVED,PROVISIONAL
TestingRequirement,3rd-party test spec (BV observed),1 per (FactoryStyle; testing_agency),composite,T1_contract,D2 测试要求 verbatim,OBSERVED,PROVISIONAL
MaterialRequirement,Aggregate of greige/yarn requirements for one (StyleOrder; colour),1 per (StyleOrder; colour),composite,T5_fabric_plan,D5 投料计划,OBSERVED,PROVISIONAL
YarnRequirement,Yarn quantity required,1 per (StyleOrder; colour; yarn_spec),composite,T5_fabric_plan,D5 购纱 950 KG (computed 931.836 + buffer),OBSERVED,PROVISIONAL
KnittingPlan,"Knit order to a KnitSubcontractor, per fabric×colour",1 per (fabric_spec; colour; subcontractor),composite,T5_knit_plan,D6 织造计划单 (林海织造),OBSERVED,PROVISIONAL
FabricBatch,Physical batch of greige fabric produced by a KnittingPlan,1 per (KnittingPlan; batch),composite,T5_knit_plan,inferred layer between KnittingPlan and DyeLot,INFERRED_LOW,PROVISIONAL (U-10 — may collapse into KnittingPlan)
DyeLot,Batch of fabric dyed to one colour (批号),1 per batch_number (scope UNRESOLVED U-2),batch_number,T5_dye_plan,D7 批号=524; D8 批号/色样=524,OBSERVED,PROVISIONAL (U-2)
CuttingPlan,Cutting-room plan producing per-size pieces from a DyeLot,1 per (StyleOrder; DyeLot),composite,T6_cut_plan,D8 裁剪计划单,OBSERVED,PROVISIONAL
EmbroideryJob,Outsourced embroidery run on cut pieces,1 per (CuttingPlan; Artwork),composite,T6_cut_plan → T11_emb,D8 协作单位 家顺 + A5 art,OBSERVED,PROVISIONAL
SewingJob,CMT sewing run on embroidered pieces,1 per (CuttingPlan; colour),composite,T12_cmt,D8 生产工厂 名苑;D1 status text,OBSERVED,PROVISIONAL
PackingJob,"Packing run for one (SewingJob; PurchaseOrder)",1 per (SewingJob; PurchaseOrder),composite,T8_pack,D10 装箱单 per PO block,OBSERVED,PROVISIONAL
Shipment,Completed dispatch of one or more POs' cartons,1 per shipment event,composite (date; PO(s)),T9_ship,D1 成衣工厂 cell = 5/22 郁建东发货,OBSERVED,PROVISIONAL
Invoice,"Factory's invoice to SourcingTradingCompany, covering StyleOrder line amount",1 per invoice event,composite,T9_invoice,D1 开票情况 6/3开票 + cols 13/14 amounts,OBSERVED,PROVISIONAL
SizeAllocation,Planned+packed pieces per (PurchaseOrder; Size),1 per (PO; Size),composite,T7_trims → T8_pack,D9 per-PO per-size; D10 sums per size,OBSERVED,CONFIRMED grain
CartonAllocation,"Cartons per (PurchaseOrder; Size; carton_number range)",1 per D10 packing row,composite,T8_pack,D10 rows,OBSERVED,CONFIRMED grain
Carton,Physical box,1 per carton_number (within PO),composite (PO; carton_number),T8_pack,D10 箱号 / 每箱件数 / 毛净重 / dims / vol,OBSERVED,CONFIRMED grain
UPC,GTIN/UPC identifier per (PO; Size),1 per (PO; Size),composite,T7_trims → T8_pack,D10 包装 column with 9-digit numbers (601567944 etc.); D2 slot 包装和UPS# 待定,OBSERVED (typo of UPC# per prior analysis),PROVISIONAL
StageEvent,"Time-anchored event: any of 17 event_types (see 03_event_model.md)",1 per event,composite,ALL,derived from doc dates + status text,OBSERVED (dates) / INFERRED_HIGH (event boundaries),PROVISIONAL
StageDeadline,"Specialisation of StageEvent with actual_date=null; represents an internal target",1 per deadline,composite,T5_fabric_plan → T6_cut_plan,D7 成衣交期 4/25; D8 交货期 5/7,INFERRED_HIGH (per C4),PROVISIONAL
Document,"Source Excel/PDF/AI/DXF/JPG file with metadata (D0..D10; A1..A5)",1 per file,file_path,ALL,file inventory in step 01,OBSERVED,CONFIRMED
Provenance,Per-fact record of raw value + source_document + extraction_method + confidence,1 per (fact; source),composite,ALL,attached to every normalized attribute value,OBSERVED,CONFIRMED
